Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
n	ammatti	ammatti	ammatti			
n	ammattimḙ̄Z	ammattimeez	ammattimies			
n	"ammi ""Ei tuntenut Saarovesta"""	ammi	puinen, iso vesiastia			
adv	ammillā	ammillaa	ammollaan			
v	ammottā [Nar]	ammottaa	tapan			
v	ammulDā	ammultaa	ammentaa			
n	ammuZ	ammuz	?	?	?	
n	ampari	ampari	?	?		
v	ampua | amp̀ua | amBua	ampua | ampua | ampua	ampua			
			"iskeä ""(ukkosesta)"""			
			?			
adj	andeligas [Ylä-L]	andeligas	?		freigebig	
n	anDi | antī	anti | antii	arvannosto sotaväkeen menoa varten			
pr n	Andrē	Andree	Andrej			
n	aηGeriaZ | aηGriaZ | aηGereZ | aηgaria [L-suu] | aηkerja [Pärspää] | aηkere [Ro]	ankeriaz | ankriaz | ankerez | angaria | ankerja | ankere	ankerias	angerjas		
n	ańiś	an'is'	aniskasvi			
pr n	AnissĒ	AnissEE	Anisija			
n	aηkkuri	ankkuri	ankkuri	ankur		
pr n	Annu	Annu	Anna			
pr n	Annuška	Annuška	Anna			
n	an̮sa | an̆sa [Ro]	ansa | ansa	teeren ansa			
v	ansoi- | ansoittele-	ansoi- | ansoittele-	?		[run.] @ mit Schuhriemen versehen	
v	antā | ant̀ā	antaa | antaa	antaa			
			riihen antamisen yhteydessä			
			antaa lupa			
			?			
			?	?		
adv	antīks | ant̀iikse | ant̀iiks	antiiks | antiikse | antiiks 	anteeksi			
v	antissa | antīssa	antissa | antiissa	antaa periksi | antautua			
			pehmetä | esim. raudasta | savimaasta | raakanahasta jne. puhuen			
n	anttikristuZ	anttikristuz	anttikristus			
			[Ro] @ valekristus			
n	antura	antura	(aluksen) köli			
n	aparaverkko [L-suu]	aparaverkko	pieni käsiverkko, jonka toinen pää on kiinnitetty seipääseen ja pantu pohjaan kiinni			
n	ap̆pāja	appaaja	nuotanvetopaikka			
n	ap̄porkka | ap̄porGa | ap̆porkka | ap̆porGa 	apporkka | apporka | apporkka | apporka	saappaan terä			
n	ap̄pòsteli | ap̄pōstoli	apposteli | appoostoli	apostoli			
n	apreli	apreli	huhtikuu			
n	arappi	arappi	murjaani			
v	arassella	arassella	tehdä araksi			
n	arassoZ	arassoz	?			
v	arassuDella	arassutella	tehdä araksi | pelätellä			
v	arastua	arastua	arastua			
n	arBa	arpa	arpa			
			talon (pelto-t.) niittyosuus, joka arvalla vuosittain saatiin kylän yhteisten peltojen t. niittyen jaossa			
n	arBi	arpi	arpi			
n	arBūZi	arpuusi	arbuusi			
v	areDa	areta	tulla areksi			
v	aressoittā	aressoittaa	tehdä paastoruoka arkiseksi			
n	aresti	aresti	aresti			
v	arestoittā	arestoittaa	panna putkaan			
n	arGa	arka	arka			
adj	arGalō̭nt̀oin	arkaloontoin	arkaluonteinen			
n	arGi	arki	?			
			sellainen rouka, jota syödään paastottomana aikana			
n	arGipäivä	arkipäivä	arkipäivä			
adj	arGipäivänen	arkipäivänen	arkipäivänen			
n	arGirō̭Ga | arGirū̮ka | arGirū₍a	arkirooka | arkiruuka | arkiruua	paastottoman ajan ruoka			
n	arh̭h̭irei	arhhirei	arkkipiispa			
n	arh̭h̭itektori	arhhitektori	rakennusmestari			
pr n	Arhippa	Arhippa	Arhippa			
n	arho	arho	[? jokin] @ rikkaruoho			
			"pehmeä, helposti katkeava, pieni- ja valkokukkainen kasvi, jota mm. syötettiin sialle ""(? Stellaria media)"""			
n	arkkana	arkkana	silmukka			
adj	armaDoĭn | armatoine [L-suu] | armoDoĭn | armotoin	armatoin | armatoine | armotoin | armotoin	orpo			
			liian			
v	armahtā	armahtaa	armahtaa			
adj	armaZ	armaz	hyvä | ystävällinen			
v	armastā [Nar]	armastaa	rakasti | lempi			
n	aŕmekka	ar'mekka	jonkinlainen päälystakki | kauhtana			
n	armekki	armekki	kauhtana			
n	armimain	armimain	?		[in Poesie] @ Liebchen	
nom	armio	armio	?			
n	armo	armo	armo			
adj	armollīn | ar̆mol̆line [Ro]	armolliin | armolline	arka | pelokas	armulik		
adj	armullīn | h̭armulij	armulliin | harmulij	armas			
v	aroĭttā	aroittaa	aroittaa | pelättää			
n	arpoja [Hev] | arpuja	arpoja | arpuja	[?] [run.] @ noita			
v	arpoja	arpoja	jakaa niittyjä osuuksiin			
n	arpuli	arpuli	[Väärinoja] [run.] @ henkilö, joka katsoi kortista, mikä vika oli | unien selittäjä		Zauberer	
n	ar̆rīna | arina | arinal [Nar] | arin	arriina | arina | arinal | arin	uunin suun | arinan, hellan päällys	ahjusuu		
			[Nar] @ hiilloksen kohta			
			[Väärinoja] @ kiukaan liesi, johon hiilet ja tuhka vedettiin uunista			
			muuan tasainen paikka Saaroven Krevan mäellä			
n	ar̆rīna | arina [Väärinoja] [Kurkola]	arriina | arina	ahrain			
pr n	Arssē	Arssee	?			
n	arssina | ars͔s͔ina [Hev] | arzina [Hev] | arššina [L-suu] | aršina [Nar]	arssina | arssina | arzina | arššina | aršina	arssina			
			[L-suu] @ kyynärämitta			
pr n	Arttamona	Arttamona	?			
n	artteli | arttali [L-suu]	artteli | arttali	kalastusvenekunta, tav. n. 6-7 miestä | nuottayhtiö			
n	arttuśśi	arttus's'i	peruna			
v	arvaDa	arvata	arvata			
			arvioida			
			ymmärtää			
			selittää			
			laskea lukua, rahaa			
nom	arvaavalliin	arvaavalliin	?		wer gut errathen kann	
n	arvo | ar̆vo	arvo | arvo	ymmärrys	aru		
			arvo			
adj	arvoGaZ | arvoGas | arvokaz  [L-suu]	arvokaz | arvokas | arvokaz	ymmärtävä | älykäs | ymmärtäväinen			
			arvokas			
			?			
v	arvoĭDella	arvoitella	arvautella			
n	arvoĭDoZ	arvoitoz	arvoitus	mõistatus		
adj	arvoin	arvoin	?			
v	arvoĭttā	arvoittaa	arvauttaa			
adv	arvoit̆tē	arvoittee	?			
v	arvoja	arvoja	?			
adj	arvollīn	arvolliin	ymmärtäväinen			
int	as	as	ah			
n	aspukka | azbukka	aspukka | azbukka	aapinen			
postp	asse | assek [Hev] | ašš [Ylä-L]	asse | assek | ašš	asti | saakka			
n	as̆sīa | as̆sia | aZi₍ā	assiia | assia | asiaa	asia | homma | työ | työkalu			
v	as̆sū₍a | as̆sù₍a	assuua | assua	?			
			asua			
postp	ast | as	ast | as	asse			
n	astava | astuva [Hev] [Kurkola] [Ro] | as͔tua [Hev] | ast'iva [L-suu]	astava | astuva| astua | ast'iva	karhi | äes	äke	Egge	
			?			
n	astarga	astarga	ahrain			
v	astavoija | astăvoija | astavoittā | ast'ivoittā [L-suu] | ast'evoittā [Ro] | astuvoi- [Hev] [Ro]	astavoija | astavoija | astavoittaa | ast'ivoittaa | ast'evoittaa | astuvoi-	äestää | karhita		eggen	
n	asterka [Ro] | astrega [Ro]	asterka | astrega	ahingas			
n	astia	astia	astia			
adv	ast'ēs̆sa [Ro]	ast'eessa	?	astjasse | nõusse		
v	astua [Ylä-L]	astua	?			
n	azbukki	azbukki	aapiskirja			
v	aZettā | aset̆tā [Ro]	asettaa | asettaa	asettaa			
			pysäyttää			
			peittää jyvät äestämällä			
			?	rahustada		
v	asettai- [Hev]	asettai-	?		sich stellen	
v	aZettua	asettua	?			
			asettua yhteen kohtaan			
n	azra	azra	ahrain			
n	aZu | as̆su	asu | assu	työase | työkalu			
			kaljaasi			
n	asuηkera [Ro]	asunkera	?	tarberiistaga		
n	aZunikka	asunikka	asukki			
n [pl]	atškaD	atškad	silmälasit			
n	at̆tāmāni	attaamaani	"johtaja ""(esim. poikasakin)"""			
adv	auGi | auG | auk | auki [L-suu] [Ro]	auki | auk | auk | auki	auki			
adj	auGinain	aukinain	avonainen			
n	auGusti(kū) | auGusti(kū)	aukusti | aukustikuu	elokuu			
adj	aukka	aukka	liian antelias			
n	aukku | aukko [Nar] [L-suu]	aukku | aukko	aukko			
